ano_captacao,cota,linha,cnpj_patrocinador,valor_captado,recebimento,recebimento_herdado,data_antes_do_ano
2025,3,276,08.625.038/0001-61,89192.8,2025-02-20 10:59:00,False,False
2025,4,289,28.152.650/0001-71,499620.0,2025-01-08 17:24:00,False,False
2025,4,293,31.759.699/0002-82,43797.08,2025-01-09 11:28:00,False,False
2025,4,299,27.555.390/0005-46,120000.0,2025-01-09 11:28:00,False,False
2025,4,305,39.786.983/0001-79,500000.0,2025-01-09 13:50:00,False,False
2025,4,311,39.786.983/0001-79,440074.42,2025-01-09 15:26:00,False,False
2025,4,316,05.069.718/0003-10,100000.0,2025-01-09 16:14:00,False,False
2025,4,321,28.152.650/0001-71,400000.0,2025-01-15 09:27:00,False,False
2025,4,325,28.152.650/0001-71,499543.0,2025-01-09 17:41:00,False,False
2025,4,330,34.307.295/0001-65,500000.0,2025-01-10 17:56:00,False,False
2025,4,334,11.277.336/0001-12,150000.0,2025-01-13 10:25:00,False,False
2025,4,338,28.152.650/0001-71,499998.0,2025-01-13 11:07:00,False,False
2025,4,342,28.152.650/0001-71,483000.0,2025-01-14 08:40:00,False,False
2025,4,346,28.152.650/0001-71,500000.0,2025-01-14 14:56:00,False,False
2025,4,350,28.152.650/0001-71,500000.0,2025-01-14 15:26:00,False,False
2025,4,355,34.307.295/0001-65,489200.0,2025-01-14 15:49:00,False,False
2025,4,360,28.152.650/0001-71,500000.0,2025-01-14 16:38:00,False,False
2025,4,365,28.152.650/0001-71,161912.01,2025-01-14 17:20:00,False,False
2025,4,370,31.731.169/0001-45,264403.77,2025-01-15 12:03:00,False,False
2025,4,374,39.786.983/0012-21,93550.0,2025-01-15 16:35:00,False,False
2025,4,376,00.827.783/0005-05,260000.0,2025-01-15 16:35:00,False,False
2025,4,378,04.330.073/0001-00,130000.0,2025-01-23 07:43:00,False,False
2025,4,381,28.152.650/0001-71,396394.83,2025-01-16 17:19:00,False,False
2025,4,387,28.152.650/0001-71,316411.12,2025-01-17 14:48:00,False,False
2025,4,393,28.152.650/0001-71,441301.51,2025-01-17 15:09:00,False,False
2025,4,398,28.152.650/0001-71,365748.0,2025-01-20 14:51:00,False,False
2025,4,402,00.827.783/0005-05,281690.0,2025-01-20 10:22:00,False,False
2025,4,408,00.827.783/0020-44,250000.0,2025-01-20 13:50:00,False,False
2025,4,414,45.901.867/0001-56,57000.0,2025-01-20 15:34:00,False,False
2025,4,420,00.827.783/0001-81,250000.0,2025-01-20 15:34:00,False,False
2025,4,424,39.786.983/0017-36,150000.0,2025-01-20 15:34:00,False,False
2025,4,427,00.827.783/0020-44,297210.57,2025-01-21 14:29:00,False,False
2025,4,431,00.827.783/0020-44,136375.69,2025-01-21 19:07:00,False,False
2025,4,435,45.901.867/0003-18,49855.55,2025-01-21 22:35:00,False,False
2025,4,438,39.786.983/0001-79,200000.0,2025-01-21 22:35:00,False,False
2025,4,443,00.827.783/0005-05,250000.0,2025-01-21 22:35:00,False,False
2025,4,446,39.786.983/0001-79,94000.0,2025-01-22 10:03:00,False,False
2025,4,448,00.827.783/0001-81,250000.0,2025-01-22 10:03:00,False,False
2025,4,453,04.023.387/0001-52,150000.0,2025-01-22 10:03:00,False,False
2025,4,458,39.786.983/0001-79,200000.0,2025-01-23 14:13:00,False,False
2025,4,462,39.786.983/0001-79,250000.0,2025-01-22 11:04:00,False,False
2025,4,466,00.827.783/0001-81,230000.0,2025-01-22 11:04:00,False,False
2025,4,470,22.280.114/0001-75,20000.0,2025-01-22 14:46:00,False,False
2025,4,475,03.845.717/0005-56,125000.0,2025-01-23 16:38:00,False,False
2025,4,478,03.845.717/0013-66,125000.0,2025-01-23 16:38:00,False,False
2025,4,482,03.845.717/0016-09,125000.0,2025-01-23 16:38:00,False,False
2025,4,485,03.845.717/0002-03,125000.0,2025-01-23 16:38:00,False,False
2025,4,488,03.845.717/0018-70,125000.0,2025-01-28 16:02:00,False,False
2025,4,492,03.845.717/0017-90,103914.45,2025-01-28 16:02:00,False,False
2026,1,20,28.152.650/0001-71,500000.0,2026-01-12 11:51:00,False,False
2026,1,24,28.152.650/0001-71,500000.0,2026-01-13 12:45:00,False,False
2026,1,27,03.845.717/0038-14,92000.0,2026-01-13 14:59:00,False,False
2026,1,31,03.845.717/0048-96,158898.32,2026-01-13 14:59:00,False,False
2026,1,35,03.845.717/0031-48,189040.95,2026-01-13 14:59:00,False,False
2026,1,38,00.827.783/0004-24,250000.0,2026-01-14 23:56:00,False,False
2026,1,42,39.786.983/0001-79,250000.0,2026-01-14 23:56:00,False,False
2026,1,45,03.845.717/0027-61,45000.0,2026-01-15 18:14:00,False,False
2026,1,48,03.845.717/0020-95,35000.0,2026-01-15 18:14:00,False,False
2026,1,51,03.845.717/0015-28,29908.36,2026-01-15 18:14:00,False,False
2026,1,54,03.845.717/0033-00,30000.0,2026-01-15 18:14:00,False,False
2026,1,58,03.845.717/0028-42,85000.0,2026-01-15 18:14:00,False,False
2026,1,62,03.845.717/0010-13,20000.0,2026-01-15 18:14:00,False,False
2026,1,66,03.845.717/0023-38,40000.0,2026-01-15 18:14:00,False,False
