projeto,proponente,valor_autorizado,valor_captado,patrocinador,fonte_url,fonte_pagina,linha_arquivo,titulo_norm,id_captado,chave_proponente,casamento,numero_processo,processos_candidatos,ciclos_habilitacao,ciclo_habilitacao_min,numero_processo_secundario,ciclo_habilitacao_min_secundario
Orquestra Brasileira de Cantores Cegos - 3º Repertório,Associação Sociedade Cultura e Arte SOCA,500000.0,500000.0,PERFIL ALUMINIO DO BRASIL S/A; EDP Espírito Santo Distribuição de Energia S.A,https://secult.es.gov.br/Media/secult/LICC/RECURSO%20FINANCEIRO%20CAPTADO%20-%202025.pdf,3,36,orquestra brasileira de cantores cegos 3o repertorio,C25-35,associacao sociedade cultura e arte soca,casado,2024-HT8QP,,2024,2024.0,,
Circulação de Espetáculo - Igrejas Históricas Capixabas,PROGRAMA DE PROMOÇÃO E ASSISTÊNCIA SOCIAL,499543.0,499543.0,EDP Espírito Santo Distribuição de Energia S.A,https://secult.es.gov.br/Media/secult/LICC/RECURSO%20FINANCEIRO%20CAPTADO%20-%202025.pdf,3,37,circulacao de espetaculo igrejas historicas capixabas,C25-36,programa de promocao e assistencia social,casado,2023-SCGXC,,2024,2024.0,,
Festival Delírio Tropical,PURI PRODUÇÕES E EVENTOS LTDA,500000.0,500000.0,Companhia de Gás do Espírito Santo – ES GÁS,https://secult.es.gov.br/Media/secult/LICC/RECURSO%20FINANCEIRO%20CAPTADO%20-%202025.pdf,3,38,festival delirio tropical,C25-37,puri producoes e eventos,casado,2024-8XRF4,,2024,2024.0,,
Turma da Ação,VIANA PROJETOS CULTURAIS LTDA,497638.35,150000.0,VM Comercio de Automoveis LTDA,https://secult.es.gov.br/Media/secult/LICC/RECURSO%20FINANCEIRO%20CAPTADO%20-%202025.pdf,3,39,turma da acao,C25-38,viana projetos culturais,casado,2023-GNGTZ,,2024,2024.0,,
Estúdio Escola de Animação,ATROM PRODUCOES E CONSULTORIA,499998.0,499998.0,EDP Espírito Santo Distribuição de Energia S.A,https://secult.es.gov.br/Media/secult/LICC/RECURSO%20FINANCEIRO%20CAPTADO%20-%202025.pdf,3,40,estudio escola de animacao,C25-39,atrom producoes e consultoria,casado,2023-WMPXZ,,2023,2023.0,,
2ª Festa da Palavra,INSTITUTO MANGUERE,483000.0,483000.0,EDP Espírito Santo Distribuição de Energia S.A,https://secult.es.gov.br/Media/secult/LICC/RECURSO%20FINANCEIRO%20CAPTADO%20-%202025.pdf,3,41,2a festa da palavra,C25-40,instituto manguere,casado,2024-X6HWG,,2024,2024.0,,
Crias.Lab 2024,PURI PRODUÇÕES E EVENTOS LTDA,500000.0,500000.0,EDP Espírito Santo Distribuição de Energia S.A,https://secult.es.gov.br/Media/secult/LICC/RECURSO%20FINANCEIRO%20CAPTADO%20-%202025.pdf,3,42,crias lab 2024,C25-41,puri producoes e eventos,casado,2024-PM31K,,2024,2024.0,,
FESTIVAL ORIGRAFFES - 7° EDIÇÃO,iÁ Estúdio,500000.0,500000.0,EDP Espírito Santo Distribuição de Energia S.A,https://secult.es.gov.br/Media/secult/LICC/RECURSO%20FINANCEIRO%20CAPTADO%20-%202025.pdf,3,43,festival origraffes 7 edicao,C25-42,ia estudio,casado,2023-83NRF,,2024,2024.0,,
Encontro das Chefs 2024,Conexxo Serviços e Gestão de Eventos LTDA.,489200.0,489200.0,Companhia de Gás do Espírito Santo – ES GÁS,https://secult.es.gov.br/Media/secult/LICC/RECURSO%20FINANCEIRO%20CAPTADO%20-%202025.pdf,4,44,encontro das chefs 2024,C25-43,conexxo servicos e gestao de eventos,sem_correspondencia,,,,,,
4A Mostra CineMarias,Odoyá Arte e Cultura Produções LTDA,500000.0,500000.0,EDP Espírito Santo Distribuição de Energia S.A,https://secult.es.gov.br/Media/secult/LICC/RECURSO%20FINANCEIRO%20CAPTADO%20-%202025.pdf,4,45,4a mostra cinemarias,C25-44,odoya arte e cultura producoes,casado,2024-D8SGC,,2024,2024.0,,
A Paixão Segundo São João de J. S. Bach,Fernando Coelho Sabino XXXXXXXXXXX,161912.01,161912.01,EDP Espírito Santo Distribuição de Energia S.A,https://secult.es.gov.br/Media/secult/LICC/RECURSO%20FINANCEIRO%20CAPTADO%20-%202025.pdf,4,46,a paixao segundo sao joao de j s bach,C25-45,fernando coelho sabino,sem_correspondencia,,,,,,
FECSTA 7 - FESTIVAL DE CINEMA DE SANTA TERESA - ES,SATIRICA FILMES PRODUÇÕES LTDA,499900.0,264403.77,TUBOVAL COMERCIAL LTDA,https://secult.es.gov.br/Media/secult/LICC/RECURSO%20FINANCEIRO%20CAPTADO%20-%202025.pdf,4,47,fecsta 7 festival de cinema de santa teresa es,C25-46,satirica filmes producoes,casado,2023-PRGRB,,2024,2024.0,,
Cidades 20-30,INSTITUTO CAPIXABA DE CIENCIAS E ADMINISTRACAO,493550.0,483550.0,VD Comercio de Veiculos LTDA; Kurumá Veiculos S.A; AMT Trading LTDA,https://secult.es.gov.br/Media/secult/LICC/RECURSO%20FINANCEIRO%20CAPTADO%20-%202025.pdf,4,48,cidades 20 30,C25-47,instituto capixaba de ciencias e administracao,casado,2023-5V13M,,2024,2024.0,,
