id_captado,projeto,cnpj,patrocinador_nome,valor,cnpj_raiz
C25-47,Cidades 20-30,00.827.783/0005-05,Kurumá Veiculos S.A,260000.0,00827783
C25-47,Cidades 20-30,04.330.073/0001-00,AMT Trading LTDA,130000.0,04330073
C25-48,Compondo na Rua,28.152.650/0001-71,EDP Espírito Santo Distribuição de Energia S.A,396394.83,28152650
C25-49,"ENCANTANDO PESSOAS, CELEBRANDO A NATUREZA",28.152.650/0001-71,EDP Espírito Santo Distribuição de Energia S.A,316411.12,28152650
C25-50,Laboratório dos Sonhos,28.152.650/0001-71,EDP Espírito Santo Distribuição de Energia S.A,441301.51,28152650
C25-51,ENCONTRO DE CULTURAS POPULARES E TRADICIONAIS,28.152.650/0001-71,EDP Espírito Santo Distribuição de Energia S.A,365748.0,28152650
C25-52,2º FESTIVAL NACIONAL DE CAPOEIRA,00.827.783/0005-05,Kurumá Veiculos S.A,281690.0,00827783
C25-53,Quintal do CSE: Intervenções Socioespaciais Identitárias,00.827.783/0020-44,Kurumá Veiculos S.A,250000.0,00827783
C25-54,Tecer Folias,45.901.867/0001-56,EV Comércio de Veículos LTDA,57000.0,45901867
C25-54,Tecer Folias,00.827.783/0001-81,Kurumá Veiculos S.A,250000.0,00827783
C25-54,Tecer Folias,39.786.983/0017-36,VD Comercio de Veiculos LTDA,150000.0,39786983
C25-55,Orquestra de Câmara Infanto-juvenil João XXIII,00.827.783/0020-44,Kurumá Veiculos S.A,297210.57,00827783
C25-56,A Escola vai ao Teatro Tratamento Técnico do Acervo Gráfico,00.827.783/0020-44,Kurumá Veiculos S.A,136375.69,00827783
C25-57,"Editorial do Jornal Correio Popular de Cariacica/ES: Inventário, Conservação e Digitalização.",45.901.867/0003-18,EV Comércio de Veículos LTDA,49855.55,45901867
C25-57,"Editorial do Jornal Correio Popular de Cariacica/ES: Inventário, Conservação e Digitalização.",39.786.983/0001-79,VD Comercio de Veiculos LTDA,200000.0,39786983
C25-57,"Editorial do Jornal Correio Popular de Cariacica/ES: Inventário, Conservação e Digitalização.",00.827.783/0005-05,Kurumá Veiculos S.A,250000.0,00827783
C25-58,Festival Batidas do Mundo,39.786.983/0001-79,VD Comercio de Veiculos LTDA,94000.0,39786983
C25-58,Festival Batidas do Mundo,00.827.783/0001-81,Kuruma Veiculos S.A DECOLORES,250000.0,00827783
C25-58,Festival Batidas do Mundo,04.023.387/0001-52,MÁRMORES E GRANITOS DO BRASIL S.A,150000.0,04023387
C25-59,Teatro vai à escola - De onde vem o dinheiro?,39.786.983/0001-79,VD Comercio de Veiculos LTDA,200000.0,39786983
C25-60,Ecos Culturais do Convento,39.786.983/0001-79,VD Comercio de Veiculos LTDA,250000.0,39786983
C25-60,Ecos Culturais do Convento,00.827.783/0001-81,Kuruma Veiculos S.A,230000.0,00827783
C25-61,Mar Adentro,22.280.114/0001-75,ELIT DISTRIBUIDORA DE TINTAS E REVESTIMENTOS LTDA,20000.0,22280114
C25-62,Samba que Eu Quero Ver - Mostra Cultural de Bamba,03.845.717/0005-56,Realmar Distribuidora Ltda,125000.0,03845717
