ordem_doc,ciclo,numero_processo,ano_protocolo,projeto,titulo_norm,proponente,chave_proponente,valor_autorizado,valor_total,valor_autorizado_bruto,valor_total_bruto,flag_valor_suspeito,status,enquadramento,municipio_fonte,municipio_reparado,municipios_es,cod_ibge_lista,n_municipios_es,locais_fora_es,locais_nao_resolvidos,municipio_ausente_na_fonte,tipo_local,municipio_valor,cod_ibge_valor,flag_municipio_incerto,nota_municipio,fonte_url,fonte_pagina,linha_arquivo
30,2026,2025-7K1FV,2025,Espírito Santo por Cima – Do noroeste capixaba até os Doce Pontões,espirito santo por cima do noroeste capixaba ate os doce pontoes,Renato Sabaini 07848837777,renato sabaini,161786.67,161786.67,161786.67,161786.67,False,captando,cota-fora-rmgv,Colatina,Colatina,Colatina,3201506,1,,,False,um_municipio,Colatina,3201506.0,False,,https://secult.es.gov.br/lista-de-projetos-habilitados,3,32
31,2026,2025-9R9X2,2025,Costa das Baleias,costa das baleias,Andaluz Produções LTDA.,andaluz producoes,687720.0,2514594.1,687720.0,2514594.1,False,captando,cota-demais,Vitória; Linhares,Vitória; Linhares,Linhares; Vitória,3203205;3205309,2,,,False,varios_municipios,,,False,,https://secult.es.gov.br/lista-de-projetos-habilitados,3,33
32,2026,2025-HFKGT,2025,3ª Edição Do Livro Negros No Espirito Santo,3a edicao do livro negros no espirito santo,Instituto Elimu Professor Cleber Maciel.,instituto elimu professor cleber maciel,444191.92,444191.92,444191.92,444191.92,False,captando,cota-demais,Vitória; Cachoeiro; São Mateus,Vitória; Cachoeiro; São Mateus,São Mateus; Cachoeiro de Itapemirim; Vitória,3204906;3201209;3205309,3,,,False,varios_municipios,,,False,,https://secult.es.gov.br/lista-de-projetos-habilitados,3,34
33,2026,2025-J7NGB,2025,Arte por toda a Parte Capixaba,arte por toda a parte capixaba,Instituto Muniz & Cia Ltda.,instituto muniz cia,297100.0,297100.0,297100.0,297100.0,False,captando,cota-demais,Linhares,Linhares,Linhares,3203205,1,,,False,um_municipio,Linhares,3203205.0,False,,https://secult.es.gov.br/lista-de-projetos-habilitados,3,35
34,2026,2025-9T9WD,2025,Grupo Árvore De Teatro 10 anos,grupo arvore de teatro 10 anos,Árvore Casa das Artes.,arvore casa das artes,468148.92,468148.92,468148.92,468148.92,False,captando,cota-demais,Vitória,Vitória,Vitória,3205309,1,,,False,um_municipio,Vitória,3205309.0,False,,https://secult.es.gov.br/lista-de-projetos-habilitados,3,36
35,2026,2025-B7SJZ,2025,Encontro Das Pretas,encontro das pretas,Instituto Das Pretas,instituto das pretas,500000.0,500000.0,500000.0,500000.0,False,captando,cota-continuados,a definir,a definir,,,0,,a definir (local a definir),False,so_locais_nao_municipais,,,False,,https://secult.es.gov.br/lista-de-projetos-habilitados,3,37
36,2026,2025-T178P,2025,Orquestra Som Da Ilha,orquestra som da ilha,Instituto Som Da Ilha.,instituto som da ilha,300000.0,300000.0,300000.0,300000.0,False,captando,cota-demais,Vila Velha Vila Velha; Flexal,Vila Velha Vila Velha; Flexal,Vila Velha,3205200,1,,flexal (bairro/localidade não municipal),False,um_municipio_mais_outros_locais,,,False,,https://secult.es.gov.br/lista-de-projetos-habilitados,3,38
37,2026,2025-CNFWC,2025,"3,2,1 REC - Difusão e Democratização da Música Urbana",3 2 1 rec difusao e democratizacao da musica urbana,VVS Studio Records Ltda.,vvs studio records,500000.0,500000.0,500000.0,500000.0,False,captando,cota-demais,Terra Vermelha; Sao Torquatro; São Pedro; Itararé; Novo Horizonte; Feu Rosa; Colatina; Linhares; São Mateus; Aracruz; Guarapari; Cachoeiro,Terra Vermelha; Sao Torquatro; São Pedro; Itararé; Novo Horizonte; Feu Rosa; Colatina; Linhares; São Mateus; Aracruz; Guarapari; Cachoeiro,Vila Velha; São Mateus; Guarapari; Cachoeiro de Itapemirim; Colatina; Linhares; Aracruz,3205200;3204906;3202405;3201209;3201506;3203205;3200607,7,,terra vermelha (bairro/localidade não municipal); novo horizonte (bairro/localidade não municipal); sao pedro (ambíguo (distrito de Muniz Freire ou região administrativa de Vitória)); feu rosa (bairro/localidade não municipal); itarare (bairro/localidade não municipal),False,varios_municipios,,,False,,https://secult.es.gov.br/lista-de-projetos-habilitados,3,39
38,2026,2025-PHW93,2025,5ª Mostra Cinemarias,5a mostra cinemarias,Odoyá Arte E Cultura Produções Ltda,odoya arte e cultura producoes,500000.0,500000.0,500000.0,500000.0,False,captando,cota-demais,Vitória,Vitória,Vitória,3205309,1,,,False,um_municipio,Vitória,3205309.0,False,,https://secult.es.gov.br/lista-de-projetos-habilitados,3,40
39,2026,2025-34FH0,2025,"A Milionária, comédia de Bernard Shaw",a milionaria comedia de bernard shaw,Beta Produção Ltda.,beta producao,498786.9,498786.9,498786.9,498786.9,False,captando,cota-demais,Vitória,Vitória,Vitória,3205309,1,,,False,um_municipio,Vitória,3205309.0,False,,https://secult.es.gov.br/lista-de-projetos-habilitados,3,41
