# Fonte: SICONFI/STN, API https://apidatalake.tesouro.gov.br/ords/siconfi/tt/dca (DCA-Anexo I-E, governos estaduais e DF), consulta 2026-09-23; valores declarados pelo ente; ente sem declaracao = ausente. Script: analise/03c_siconfi_cultura_icms.py
ano,uf,desp_total_emp,populacao,instituicao,f13_emp,f13_392_difusao_emp,desp_total_liq,f13_liq,f13_392_difusao_liq,desp_total_pag,f13_pag,f13_392_difusao_pag,f13_391_patrimonio_emp,f13_391_patrimonio_liq,f13_391_patrimonio_pag,f13_demais_emp,f13_demais_liq,f13_demais_pag,pct_f13_emp_na_despesa,f13_emp_per_capita,f13_liq_per_capita,rank_per_capita_emp
2025,BA,77602108074.11,14659023,Governo do Estado da Bahia,455565122.45,272544028.98,75791294832.79,441866166.15,267469967.02,75165915361.06,438626813.96,266837927.96,25702168.26,21520550.06,20965622.26,11241635.73,10720146.28,10705006.83,0.005870525089536683,31.077454646875168,30.142947872446886,17.0
2025,MG,117541012321.92,20732660,Governo do Estado de Minas Gerais,373146562.25,251686223.59,113093249667.93,367875731.05,250250129.74,107098007344.66,364912066.02,249262362.03,2367381.94,1656779.24,1557488.46,32495253.2,32197558.34,31791486.46,0.003174607355158984,17.99800711775527,17.743778707122,24.0
2025,ES,30647039487.63,3975100,Governo do Estado do Espírito Santo,181916534.67,150208402.54,28869520320.34,157328746.64,126585594.07,28431596510.8,156957478.65,126370366.21,14266080.72,13625505.51,13625505.51,,,,0.005935859962702974,45.76401465875072,39.57856321601972,10.0
2025,RJ,107415838534.82,16615526,Governo do Estado do Rio de Janeiro,457437165.3,311322516.84,105892236725.44,439067346.88,292952698.42,104155211663.4,414668921.46,269641607.79,149792.16,149792.16,149792.16,,,,0.004258563462703099,27.530706238249696,26.42512472250352,18.0
2025,SP,371170443635.1,46024937,Governo do Estado de São Paulo,1512720445.24,1481897663.2,355439276197.86,1490681560.65,1463851942.02,335617652049.38,1192296382.76,1167283340.82,9989825.38,6568988.68,5915793.72,,,,0.004075541226895655,32.867409362016076,32.3885627621826,15.0
2025,PR,76172834537.17,11835379,Governo do Estado do Paraná,215279129.65,122543491.26,72506278394.55,202107154.04,117248240.55,72110231458.96,201479253.55,117158240.55,,,,,,,0.0028261929723115455,18.18945803509968,17.07652573187559,23.0
2025,SC,54030090199.86,7762154,Governo do Estado de Santa Catarina,69844589.39,27750619.29,52039082767.27,55180568.78,17370843.91,51883359109.78,54840200.86,17304433.91,842645.67,796238.26,796238.26,788054.52,699194.66,699194.66,0.0012926979972019551,8.998093749492732,7.108924762379103,27.0
2025,RS,69642519301.52,11088065,Governo do Estado do Rio Grande do Sul,267369111.86,124585768.86,64584536446.98,205481287.25,109979048.26,63400702977.79,192793641.81,102104638.2,77174390.61,34351211.09,30991113.89,5637770.19,1336431.43,363966.3,0.0038391648455796813,24.11323453280622,18.531753488999207,21.0
2025,MS,24519869603.1,2833742,Governo do Estado do Mato Grosso do Sul,146269971.01,128811900.5,23758057458.81,140732584.96,123277264.45,23569646435.92,139186107.46,121733809.12,1326786.62,1326786.62,1326786.62,465775.0,465775.0,465775.0,0.005965364962279708,51.61725062126333,49.66316092290689,9.0
2025,MT,39404676616.35,3784239,Governo do Estado do Mato Grosso,301299158.01,224912981.4,36244986890.11,283153345.32,218816190.34,35445853418.2,280216687.99,218816190.34,8293570.28,6959294.83,4479294.83,1372731.76,488508.59,488508.59,0.007646279169944598,79.61948439567374,74.82438221264566,6.0
2025,GO,52990524310.67,6950976,Governo do Estado de Goiás,107251378.52,53121532.48,50643287624.28,100207616.3,52991002.48,50360938042.61,94372420.01,47557242.14,17148558.45,11573749.41,11555822.3,,,,0.0020239727746646247,15.429686208095093,14.4163375474178,25.0
2025,DF,40435010686.89,2923369,Governo do Distrito Federal,456335034.19,359658568.24,38739291802.65,388852025.49,295138619.66,36678301413.3,362477138.32,275037407.17,213988.68,213708.68,100000.0,9576918.06,7903040.2,7563920.79,0.011285641488353922,156.0990193814055,133.01503350757295,3.0
