# Fonte: IBGE, Sistema de Informacoes e Indicadores Culturais (SIIC), API servicodados.ibge.gov.br/api/v1/pesquisas/10092, consulta 2026-09-23. valor = valor_publicado x multiplicador dos metadados. Script: analise/03b_ibge_cultura_es.py
indicador_id,indicador,descricao_ibge,unidade,multiplicador,localidade,ano,valor_publicado,valor
82734,assalariados_setor_cultural_cempre,Cadastro Central de Empresas > Total de pessoal ocupado assalariado no setor cultural,pessoas,1,PR,2021,107237.0,107237.0
82734,assalariados_setor_cultural_cempre,Cadastro Central de Empresas > Total de pessoal ocupado assalariado no setor cultural,pessoas,1,RJ,2007,146470.0,146470.0
82734,assalariados_setor_cultural_cempre,Cadastro Central de Empresas > Total de pessoal ocupado assalariado no setor cultural,pessoas,1,RJ,2009,154914.0,154914.0
82734,assalariados_setor_cultural_cempre,Cadastro Central de Empresas > Total de pessoal ocupado assalariado no setor cultural,pessoas,1,RJ,2011,178830.0,178830.0
82734,assalariados_setor_cultural_cempre,Cadastro Central de Empresas > Total de pessoal ocupado assalariado no setor cultural,pessoas,1,RJ,2017,153004.0,153004.0
82734,assalariados_setor_cultural_cempre,Cadastro Central de Empresas > Total de pessoal ocupado assalariado no setor cultural,pessoas,1,RJ,2019,156966.0,156966.0
82734,assalariados_setor_cultural_cempre,Cadastro Central de Empresas > Total de pessoal ocupado assalariado no setor cultural,pessoas,1,RJ,2021,146181.0,146181.0
82734,assalariados_setor_cultural_cempre,Cadastro Central de Empresas > Total de pessoal ocupado assalariado no setor cultural,pessoas,1,RN,2007,10163.0,10163.0
82734,assalariados_setor_cultural_cempre,Cadastro Central de Empresas > Total de pessoal ocupado assalariado no setor cultural,pessoas,1,RN,2009,10489.0,10489.0
82734,assalariados_setor_cultural_cempre,Cadastro Central de Empresas > Total de pessoal ocupado assalariado no setor cultural,pessoas,1,RN,2011,11874.0,11874.0
82734,assalariados_setor_cultural_cempre,Cadastro Central de Empresas > Total de pessoal ocupado assalariado no setor cultural,pessoas,1,RN,2017,12445.0,12445.0
82734,assalariados_setor_cultural_cempre,Cadastro Central de Empresas > Total de pessoal ocupado assalariado no setor cultural,pessoas,1,RN,2019,12729.0,12729.0
82734,assalariados_setor_cultural_cempre,Cadastro Central de Empresas > Total de pessoal ocupado assalariado no setor cultural,pessoas,1,RN,2021,12474.0,12474.0
82734,assalariados_setor_cultural_cempre,Cadastro Central de Empresas > Total de pessoal ocupado assalariado no setor cultural,pessoas,1,RO,2007,5221.0,5221.0
82734,assalariados_setor_cultural_cempre,Cadastro Central de Empresas > Total de pessoal ocupado assalariado no setor cultural,pessoas,1,RO,2009,5063.0,5063.0
82734,assalariados_setor_cultural_cempre,Cadastro Central de Empresas > Total de pessoal ocupado assalariado no setor cultural,pessoas,1,RO,2011,5519.0,5519.0
82734,assalariados_setor_cultural_cempre,Cadastro Central de Empresas > Total de pessoal ocupado assalariado no setor cultural,pessoas,1,RO,2017,6162.0,6162.0
82734,assalariados_setor_cultural_cempre,Cadastro Central de Empresas > Total de pessoal ocupado assalariado no setor cultural,pessoas,1,RO,2019,6491.0,6491.0
82734,assalariados_setor_cultural_cempre,Cadastro Central de Empresas > Total de pessoal ocupado assalariado no setor cultural,pessoas,1,RO,2021,7440.0,7440.0
82734,assalariados_setor_cultural_cempre,Cadastro Central de Empresas > Total de pessoal ocupado assalariado no setor cultural,pessoas,1,RR,2007,1076.0,1076.0
82734,assalariados_setor_cultural_cempre,Cadastro Central de Empresas > Total de pessoal ocupado assalariado no setor cultural,pessoas,1,RR,2009,1811.0,1811.0
82734,assalariados_setor_cultural_cempre,Cadastro Central de Empresas > Total de pessoal ocupado assalariado no setor cultural,pessoas,1,RR,2011,1467.0,1467.0
82734,assalariados_setor_cultural_cempre,Cadastro Central de Empresas > Total de pessoal ocupado assalariado no setor cultural,pessoas,1,RR,2017,1763.0,1763.0
82734,assalariados_setor_cultural_cempre,Cadastro Central de Empresas > Total de pessoal ocupado assalariado no setor cultural,pessoas,1,RR,2019,1885.0,1885.0
82734,assalariados_setor_cultural_cempre,Cadastro Central de Empresas > Total de pessoal ocupado assalariado no setor cultural,pessoas,1,RR,2021,2089.0,2089.0
82734,assalariados_setor_cultural_cempre,Cadastro Central de Empresas > Total de pessoal ocupado assalariado no setor cultural,pessoas,1,RS,2007,77268.0,77268.0
82734,assalariados_setor_cultural_cempre,Cadastro Central de Empresas > Total de pessoal ocupado assalariado no setor cultural,pessoas,1,RS,2009,88976.0,88976.0
82734,assalariados_setor_cultural_cempre,Cadastro Central de Empresas > Total de pessoal ocupado assalariado no setor cultural,pessoas,1,RS,2011,92292.0,92292.0
82734,assalariados_setor_cultural_cempre,Cadastro Central de Empresas > Total de pessoal ocupado assalariado no setor cultural,pessoas,1,RS,2017,93381.0,93381.0
82734,assalariados_setor_cultural_cempre,Cadastro Central de Empresas > Total de pessoal ocupado assalariado no setor cultural,pessoas,1,RS,2019,95315.0,95315.0
82734,assalariados_setor_cultural_cempre,Cadastro Central de Empresas > Total de pessoal ocupado assalariado no setor cultural,pessoas,1,RS,2021,101571.0,101571.0
82734,assalariados_setor_cultural_cempre,Cadastro Central de Empresas > Total de pessoal ocupado assalariado no setor cultural,pessoas,1,SC,2007,55748.0,55748.0
82734,assalariados_setor_cultural_cempre,Cadastro Central de Empresas > Total de pessoal ocupado assalariado no setor cultural,pessoas,1,SC,2009,58469.0,58469.0
82734,assalariados_setor_cultural_cempre,Cadastro Central de Empresas > Total de pessoal ocupado assalariado no setor cultural,pessoas,1,SC,2011,59801.0,59801.0
82734,assalariados_setor_cultural_cempre,Cadastro Central de Empresas > Total de pessoal ocupado assalariado no setor cultural,pessoas,1,SC,2017,68194.0,68194.0
82734,assalariados_setor_cultural_cempre,Cadastro Central de Empresas > Total de pessoal ocupado assalariado no setor cultural,pessoas,1,SC,2019,78407.0,78407.0
