doi,crossref_status,openalex_status,titulo,ano,periodico,volume,numero,paginas,autores,tem_resumo
10.1590/0034-7612162254,200,200,O financiamento da cultura no Brasil no período 2003-15: um caminho para geração de renda monopolista,2017,Revista de Administração Pública,51,4,509-527,Costa; Medeiros; Bucco,True
10.1590/S0011-52582013000200004,200,200,Da compra de produtos e serviços culturais ao direito de produzir cultura: análise de um paradigma emergente,2013,Dados,56,2,351-382,Lima; Ortellado,True
10.1590/S0034-75901997000400005,200,200,Patrocínio empresarial e incentivos fiscais a cultura no Brasil: análise de uma experiência recente,1997,Revista de Administração de Empresas,37,4,38-44,Durand; Gouveia; Berman,True
10.1590/S0102-88392001000200011,200,200,DIMENSÕES DA CULTURA E POLÍTICAS PÚBLICAS,2001,São Paulo em Perspectiva,15,2,73-83,BOTELHO,True
10.1590/S0103-20702003000200007,200,200,A política cultural: regulação estatal e mecenato privado,2003,Tempo Social,15,2,,Arruda,True
10.1590/S0103-49792016000300007,200,200,A DEFINIÇÃO PRIVADA DO BEM PÚBLICO: a atuação de institutos empresariais na esfera da cultura,2016,Caderno CRH,29,78,513-534,Michetti,True
10.1596/978-1-4648-0779-4,200,200,"Impact Evaluation in Practice, Second Edition",2016,"Washington, DC: Inter-American Development Bank and World Bank eBooks",,,,Gertler; Martinez; Premand; Rawlings; Vermeersch,True
10.1596/978-1-4648-0889-0,404,404,,,,,,,,False
10.17310/ntj.2009.1.03,200,200,Does the NEA Crowd Out Private Charitable Contributions to the Arts?,2009,National Tax Journal,62,1,57-75,Dokko,True
10.18764/2178-2865.v18n1p111-124,200,200,GASTOS TRIBUTÁRIOS E RECURSOS ORÇAMENTÁRIOS NAS POLÍTICAS CULTURAIS,2014,Revista Políticas Públicas,18,1,111,Santos; Paulo,True
10.2139/ssrn.3313990,200,200,The Entangled Political Economy of Brazilian Cultural Policy: A Case-Study of the Rouanet Law,2019,SSRN Electronic Journal,,,,Dekker; Rodrigues,True
10.21783/rei.v5i2.314,200,200,A QUALIDADE DO GASTO TRIBUTÁRIO E A UTILIZAÇÃO DAS POLÍTICAS DE RENÚNCIA FISCAL NA CULTURA,2019,REI - REVISTA ESTUDOS INSTITUCIONAIS,5,2,486-507,Pimentel,True
10.22617/TCS179188-2,200,200,Impact Evaluation of Development Interventions: A Practical Guide,2017,,,,,,True
10.2307/2951620,200,200,Identification and Estimation of Local Average Treatment Effects,1994,Econometrica,62,2,467,Imbens; Angrist,True
10.2307/2971733,200,200,Matching As An Econometric Evaluation Estimator: Evidence from Evaluating a Job Training Programme,1997,The Review of Economic Studies,64,4,605-654,Heckman; Ichimura; Todd,True
10.24302/drd.v14.5320,200,200,Distribuição geográfica de projetos culturais com captação de recursos via Lei Rouanet,2024,DRd - Desenvolvimento Regional em debate,14,,556-578,Teixeira; Xavier; Faria,True
10.3102/10769986211070625,200,200,Statistical Power for Estimating Treatment Effects Using Difference-in-Differences and Comparative Interrupted Time Series Estimators With Variation in Treatment Timing,2022,Journal of Educational and Behavioral Statistics,47,4,367-405,Schochet,True
10.3138/cjpe.31122,200,200,Theory of Change Analysis: Building Robust Theories of Change,2017,Canadian Journal of Program Evaluation,32,2,155-173,Mayne,True
10.3368/jhr.50.2.317,200,200,A Practitioner’s Guide to Cluster-Robust Inference,2015,Journal of Human Resources,50,2,317-372,Colin Cameron; Miller,True
10.3368/jhr.57.3.0917-9064R2,200,200,Long-Run Impacts of Intergovernmental Transfers,2020,Journal of Human Resources,57,3,868-917,Filho; Litschig,True
10.3386/w32117,200,200,Difference-in-differences with a Continuous Treatment,2024,National Bureau of Economic Research,,,,Callaway; Goodman-Bacon; Sant'Anna,True
10.38116/td2715,200,200,TD 2715 - Mercado de trabalho da cultura: considerações sobre a meta 11 do Plano Nacional de Cultura (PNC),2022,Texto para Discussão,,,1-53,Silva; Ziviani,True
10.3982/ECTA11757,200,200,Robust Nonparametric Confidence Intervals for Regression-Discontinuity Designs,2014,Econometrica,82,6,2295-2326,Calonico; Cattaneo; Titiunik,True
10.48550/arXiv.2105.03737,404,200,Difference-in-Differences Estimation with Spatial Spillovers,2021,RePEc: Research Papers in Economics,,,,Kyle Butts,True
10.5102/rbpp.v7i1.4351,200,200,FINANCIAMENTO CULTURAL NO BRASIL CONTEMPORÂNEO,2017,Revista Brasileira de Políticas Públicas,7,1,,Barbosa da Silva,True
10.52780/res.v30i3.20239,200,200,"Folha de S.Paulo, lei rouanet e o mercado de patrocínios culturais incentivados",2025,Estudos de Sociologia,,,1123-1150,Lopes; Barreiros,True
10.5433/2176-6665.2020v25n2p412,200,200,"Concentração cultural: Por que podemos dizer que, no Brasil, o investimento na cultura está mais concentrado que o PIB?",2020,Mediações - Revista de Ciências Sociais,25,2,412,Guimarães,True
10.9771/pcr.v11i1.25343,200,200,"Política Cultural por meio do incentivo fiscal, 26 anos de caminhada: retrato da captação global e setorial no campo das humanidades",2019,Políticas Culturais em Revista,11,1,255-277,Ficheira; Buarque de Hollanda,True
10.9771/pcr.v9i1.15208,200,200,Evolução do Mecenato no Brasil: os valores movimentados através da Lei Rouanet despidos do véu da inflação (1996-2014),2016,Políticas Culturais em Revista,9,1,315,Earp; Estrella,True
10.20435/inter.v22i2.2965,200,200,Relação entre os equipamentos e políticas culturais dos municípios de Minas Gerais e a captação de recursos via Lei Estadual de Incentivo à Cultura,2021,Interações (Campo Grande),,,405-419,Teixeira; Xavier; Faria; Bravim,True
10.1093/ije/dyl129,200,200,Sample size for cluster randomized trials: effect of coefficient of variation of cluster size and analysis method,2006,International Journal of Epidemiology,35,5,1292-1300,Eldridge; Ashby; Kerry,True
10.1016/S1574-0676(06)01036-2,200,200,Chapter 36 Tax Incentives in Cultural Policy,2006,Handbook of the Economics of Art and Culture,,,1253-1298,Schuster,False
10.3982/ECTA13288,200,200,Who Should Be Treated? Empirical Welfare Maximization Methods for Treatment Choice,2018,Econometrica,86,2,591-616,Kitagawa; Tetenov,True
10.1093/pan/mpt024,200,200,Causal Inference in Conjoint Analysis: Understanding Multidimensional Choices via Stated Preference Experiments,2014,Political Analysis,22,1,1-30,Hainmueller; Hopkins; Yamamoto,True
10.2307/1925895,200,200,The Pure Theory of Public Expenditure,1954,The Review of Economics and Statistics,36,4,387,Samuelson,True
10.2307/2234133,200,200,Impure Altruism and Donations to Public Goods: A Theory of Warm-Glow Giving,1990,The Economic Journal,100,401,464,Andreoni,True
10.1111/j.1468-0262.2005.00594.x,200,200,"Structural Equations, Treatment Effects, and Econometric Policy Evaluation1",2005,Econometrica,73,3,669-738,Heckman; Vytlacil,True
10.3982/ECTA15732,200,200,Policy Learning With Observational Data,2021,Econometrica,89,1,133-161,Athey; Wager,True
10.1016/0047-2727(86)90024-1,200,200,On the private provision of public goods,1986,Journal of Public Economics,29,1,25-49,Bergstrom; Blume; Varian,False
10.1111/j.1468-0262.2004.00530.x,200,200,Statistical Treatment Rules for Heterogeneous Populations,2004,Econometrica,72,4,1221-1246,Manski,True
10.1257/jep.25.3.17,200,200,Mechanism Experiments and Policy Evaluations,2011,Journal of Economic Perspectives,25,3,17-38,Ludwig; Kling; Mullainathan,True
10.1093/qje/qjz013,200,200,Take-Up and Targeting: Experimental Evidence from SNAP,2019,The Quarterly Journal of Economics,134,3,1505-1556,Finkelstein; Notowidigdo,True
10.1257/pol.20180076,200,200,Who Is Screened Out? Application Costs and the Targeting of Disability Programs,2019,American Economic Journal: Economic Policy,11,4,213-248,Deshpande; Li,True
10.1257/aer.20121493,200,200,Psychological Frictions and the Incomplete Take-Up of Social Benefits: Evidence from an IRS Field Experiment,2015,American Economic Review,105,11,3489-3529,Bhargava; Manoli,True
10.1257/pol.3.1.54,200,200,Transfer Program Complexity and the Take-Up of Social Benefits,2011,American Economic Journal: Economic Policy,3,1,54-90,Kleven; Kopczuk,True
10.1257/aer.20180615,200,200,Tax-Exempt Lobbying: Corporate Philanthropy as a Tool for Political Influence,2020,American Economic Review,110,7,2065-2102,Bertrand; Bombardini; Fisman; Trebbi,True
10.1086/296420,200,200,Why Do Corporations Give to Charity?,1988,The Journal of Business,61,1,65,Navarro,True
10.1162/rest_a_00716,200,200,Optimal Design of Experiments in the Presence of Interference,2018,The Review of Economics and Statistics,100,5,844-860,Baird; Bohren; McIntosh; Özler,True
10.1093/jopart/muu009,200,200,"Administrative Burden: Learning, Psychological, and Compliance Costs in Citizen-State Interactions",2014,Journal of Public Administration Research and Theory,25,1,43-69,Moynihan; Herd; Harvey,True
10.7758/9781610448789,200,200,Administrative Burden,2019,Russell Sage Foundation eBooks,,,,Herd; Moynihan,False
10.1080/00913367.1998.10673539,200,200,An International Review of Sponsorship Research,1998,Journal of Advertising,27,1,1-21,Cornwell; Maignan,True
10.3138/cjpe.230,200,200,Useful Theory of Change Models,2015,Canadian Journal of Program Evaluation,30,2,119-142,Mayne,True
10.1177/1356389015605198,200,200,Using theories of change in the CGIAR Research Program on Agriculture for Nutrition and Health,2015,Evaluation,21,4,407-428,Mayne; Johnson,True
10.1093/wbro/lkaa004,200,200,Can Jobs Programs Build Peace?,2020,The World Bank Research Observer,36,2,234-259,Brück; Ferguson; Izzi; Stojetz,True
