id,url,status,content_type,bytes,sha256,coletado_utc,arquivo
doi:10.1111/j.1468-0262.2004.00481.x,https://api.crossref.org/works/10.1111/j.1468-0262.2004.00481.x,200,application/json,2493,0a53bc22ba2506ffd8c24726bdde39c0923b7407741dd283ae39b9d3e5274dd8,2026-09-24T00:27:05Z,dados/fontes_web/doi/10.1111_j.1468-0262.2004.00481.x.json
doi:10.1111/j.1468-0262.2006.00655.x,https://api.crossref.org/works/10.1111/j.1468-0262.2006.00655.x,200,application/json,2603,0bab056e2c32423d01a213d9862717bf8956949f2aab47209f503b643240da39,2026-09-24T00:27:05Z,dados/fontes_web/doi/10.1111_j.1468-0262.2006.00655.x.json
doi:10.1111/joes.12363,https://api.crossref.org/works/10.1111/joes.12363,200,application/json,3187,2b438e4470e71fbc9c756ddac37f75a5087684cd5ef0a7d9a6573c70022e5fbc,2026-09-24T00:27:06Z,dados/fontes_web/doi/10.1111_joes.12363.json
doi:10.1111/joes.12692,https://api.crossref.org/works/10.1111/joes.12692,200,application/json,3339,479f21233dd396c4e2d35af07231cc4a77b0cdbb403281d4ee3f031d0181c34b,2026-09-24T00:27:07Z,dados/fontes_web/doi/10.1111_joes.12692.json
doi:10.1111/jors.12485,https://api.crossref.org/works/10.1111/jors.12485,200,application/json,3460,57372ed990a0932a730657e417b566cc3046303d6a3833ddba1ed4834d84da79,2026-09-24T00:27:08Z,dados/fontes_web/doi/10.1111_jors.12485.json
doi:10.1111/pirs.12728,https://api.crossref.org/works/10.1111/pirs.12728,200,application/json,2148,561ffbedc6be3a5c4a0e793d99ce1c25fd17938b60ad31b58b78839abf564cb9,2026-09-24T00:27:09Z,dados/fontes_web/doi/10.1111_pirs.12728.json
doi:10.1162/003355304772839588,https://api.crossref.org/works/10.1162/003355304772839588,200,application/json,2820,ab4de467d96701d0b932671767bb61b2881779c18207a9ad0cf3f61d4e605488,2026-09-24T00:27:10Z,dados/fontes_web/doi/10.1162_003355304772839588.json
doi:10.1162/003465304323023651,https://api.crossref.org/works/10.1162/003465304323023651,200,application/json,2814,88e367681899c1e051c049a8ecd093bb7ba68afbd27c30ed124ee2331fa2c831,2026-09-24T00:27:10Z,dados/fontes_web/doi/10.1162_003465304323023651.json
doi:10.1162/REST_a_00049,https://api.crossref.org/works/10.1162/REST_a_00049,200,application/json,2109,1f806d5c2846a547e32613f5130fe66bb98a4fe38bc861147b7ef48eddfd0e3e,2026-09-24T00:27:11Z,dados/fontes_web/doi/10.1162_rest_a_00049.json
doi:10.1162/rest.90.3.414,https://api.crossref.org/works/10.1162/rest.90.3.414,200,application/json,2213,4227e4e09815f50cdc313d21aafd0cc79754f76d3d8bd4acb18de9bbc45245ee,2026-09-24T00:27:12Z,dados/fontes_web/doi/10.1162_rest.90.3.414.json
doi:10.1162/rest_a_00716,https://api.crossref.org/works/10.1162/rest_a_00716,200,application/json,2253,f5c49c973577ecf41b53377a5a033bce956772c111389366427a0c7f83eeff00,2026-09-24T00:27:13Z,dados/fontes_web/doi/10.1162_rest_a_00716.json
doi:10.1162/rest_a_00759,https://api.crossref.org/works/10.1162/rest_a_00759,200,application/json,2666,18391ec398f386a00baa92a0f2c89d067a28637c0fe1f87db3125ae5ba743289,2026-09-24T00:27:14Z,dados/fontes_web/doi/10.1162_rest_a_00759.json
doi:10.1177/0193841X9501900504,https://api.crossref.org/works/10.1177/0193841X9501900504,200,application/json,2334,c9f2c3e7a692ec2578fc4a02e991b4ccb257e205452c185ef1e5f2088be23b17,2026-09-24T00:27:14Z,dados/fontes_web/doi/10.1177_0193841x9501900504.json
doi:10.1177/0275074016651958,https://api.crossref.org/works/10.1177/0275074016651958,200,application/json,3354,5416f092312b546fd1b4513a36b59fb9fba5e6cc9c0f014af840f78e1627fc21,2026-09-24T00:27:15Z,dados/fontes_web/doi/10.1177_0275074016651958.json
doi:10.1177/0899764013487800,https://api.crossref.org/works/10.1177/0899764013487800,200,application/json,3510,1f7407f856fb019962e29e0b111d262f1a2908ac554d90977b1bdda6bf6631bc,2026-09-24T00:27:16Z,dados/fontes_web/doi/10.1177_0899764013487800.json
doi:10.1177/1536867X19830877,https://api.crossref.org/works/10.1177/1536867X19830877,200,application/json,4521,053bfe442dc02653af0277e955014ca5de51c9f4e5a402cc05ad3239d7d275f4,2026-09-24T00:27:17Z,dados/fontes_web/doi/10.1177_1536867x19830877.json
doi:10.1177/1745691614551642,https://api.crossref.org/works/10.1177/1745691614551642,200,application/json,3215,7c4ca1677a5dafd595613eceb2d7394f371394012d7f7638e1ae43d8ca7588f2,2026-09-24T00:27:18Z,dados/fontes_web/doi/10.1177_1745691614551642.json
doi:10.1198/jasa.2009.ap08746,https://api.crossref.org/works/10.1198/jasa.2009.ap08746,200,application/json,2743,f3c7795404f1079416be5167c10f17b78e6428a985bb867026518569e722d0d7,2026-09-24T00:27:18Z,dados/fontes_web/doi/10.1198_jasa.2009.ap08746.json
doi:10.1257/000282803321455188,https://api.crossref.org/works/10.1257/000282803321455188,200,application/json,2643,140a495cb8f62366240b0e0600de77f270272c51fe399669fdf5974ea02dcf43,2026-09-24T00:27:19Z,dados/fontes_web/doi/10.1257_000282803321455188.json
doi:10.1257/aer.20181169,https://api.crossref.org/works/10.1257/aer.20181169,200,application/json,2554,a996099f4c44a3b96733bd8b91a18394c5f2bbcfbad9dace95f6c1897de90563,2026-09-24T00:27:20Z,dados/fontes_web/doi/10.1257_aer.20181169.json
